Ticker,Name,Sector,Location,Currency,Exchange
VCX,VICINITY CENTRES,Real Estate,Australia,USD,Asx - All Markets
2887,TAISHIN FINANCIAL HOLDING LTD,Financials,Taiwan,USD,Taiwan Stock Exchange
CPN.R,CENTRAL PATTANA NON-VOTING DR PCL,Real Estate,Thailand,USD,Stock Exchange Of Thailand
BSL,BLUESCOPE STEEL LTD,Materials,Australia,USD,Asx - All Markets
5411,JFE HOLDINGS INC,Materials,Japan,USD,Tokyo Stock Exchange
SOBI,SWEDISH ORPHAN BIOVITRUM,Health Care,Sweden,USD,Nasdaq Omx Nordic
QAN,QANTAS AIRWAYS LTD,Industrials,Australia,USD,Asx - All Markets
SIGN,SIG GROUP N AG,Materials,Switzerland,USD,SIX Swiss Exchange
HAR,HARMONY GOLD MINING COMPANY LIMITE,Materials,South Africa,USD,Johannesburg Stock Exchange
2587,SUNTORY BEVERAGE & FOOD LTD,Consumer Staples,Japan,USD,Tokyo Stock Exchange
9005,TOKYU CORP,Industrials,Japan,USD,Tokyo Stock Exchange
6446,PHARMAESSENTIA CORP,Health Care,Taiwan,USD,Taiwan Stock Exchange
2267,YAKULT HONSHA LTD,Consumer Staples,Japan,USD,Tokyo Stock Exchange
BOL,BOLLORE,Communication,France,USD,Nyse Euronext - Euronext Paris
9926,AKESO INC,Health Care,China,USD,Hong Kong Exchanges And Clearing Ltd
VER,VERBUND AG,Utilities,Austria,USD,Wiener Boerse Ag
ORI,ORICA LTD,Materials,Australia,USD,Asx - All Markets
LUV,SOUTHWEST AIRLINES,Industrials,United States,USD,New York Stock Exchange Inc.
SAP,SAPUTO INC,Consumer Staples,Canada,USD,Toronto Stock Exchange
SQM.B,SOCIEDAD QUIMICA Y MINERA DE CHILE,Materials,Chile,USD,Santiago Stock Exchange
3064,MONOTARO LTD,Industrials,Japan,USD,Tokyo Stock Exchange
MAERSK A,A P MOLLER MAERSK,Industrials,Denmark,USD,Omx Nordic Exchange Copenhagen A/S
ONEX,ONEX CORP,Financials,Canada,USD,Toronto Stock Exchange
ORDS,OOREDOO,Communication,Qatar,USD,Qatar Exchange
JBSS3,JBS SA,Consumer Staples,Brazil,USD,XBSP
SOL,WASHINGTON H SOUL PATTINSON & COMP,Financials,Australia,USD,Asx - All Markets
MNG,M&G PLC,Financials,United Kingdom,USD,London Stock Exchange
PST,POSTE ITALIANE,Financials,Italy,USD,Borsa Italiana
FUTU,FUTU HOLDINGS ADR LTD,Financials,Hong Kong,USD,NASDAQ
DSY,DISCOVERY LTD,Financials,South Africa,USD,Johannesburg Stock Exchange
5876,SHANGHAI COMMERCIAL LTD,Financials,Taiwan,USD,Taiwan Stock Exchange
4938,PEGATRON CORP,Information Technology,Taiwan,USD,Taiwan Stock Exchange
BALD B,FASTIGHETS BALDER CLASS B,Real Estate,Sweden,USD,Nasdaq Omx Nordic
SPX,SPIRAX GROUP PLC,Industrials,United Kingdom,USD,London Stock Exchange
19,SWIRE PACIFIC LTD A,Industrials,Hong Kong,USD,Hong Kong Exchanges And Clearing Ltd
ENT,ENTAIN PLC,Consumer Discretionary,United Kingdom,USD,London Stock Exchange
SMPH,SM PRIME HOLDINGS INC,Real Estate,Philippines,USD,Philippine Stock Exchange Inc.
UHR,THE SWATCH GROUP AG,Consumer Discretionary,Switzerland,USD,SIX Swiss Exchange
4091,NIPPON SANSO HOLDINGS CORP,Materials,Japan,USD,Tokyo Stock Exchange
TEL2 B,TELE2 B,Communication,Sweden,USD,Nasdaq Omx Nordic
2333,GREAT WALL MOTOR COMPANY LTD H,Consumer Discretionary,China,USD,Hong Kong Exchanges And Clearing Ltd
TEP,TELEPERFORMANCE,Industrials,France,USD,Nyse Euronext - Euronext Paris
34020,DOOSAN ENERBILITY LTD,Industrials,Korea (South),USD,Korea Exchange (Stock Market)
PAH3,PORSCHE AUTOMOBIL HOLDING PREF,Consumer Discretionary,Germany,USD,Xetra
PUM,PUMA,Consumer Discretionary,Germany,USD,Xetra
2609,YANG MING MARINE TRANSPORT CORP,Industrials,Taiwan,USD,Taiwan Stock Exchange
TIH,TOROMONT INDUSTRIES LTD,Industrials,Canada,USD,Toronto Stock Exchange
3550,LG CORP,Industrials,Korea (South),USD,Korea Exchange (Stock Market)
UHALB,U HAUL NON VOTING SERIES N,Industrials,United States,USD,New York Stock Exchange Inc.
1099,SINOPHARM GROUP LTD H,Health Care,China,USD,Hong Kong Exchanges And Clearing Ltd
TLX,TALANX AG,Financials,Germany,USD,Xetra
6415,SILERGY CORP,Information Technology,Taiwan,USD,Taiwan Stock Exchange
7735,SCREEN HOLDINGS LTD,Information Technology,Japan,USD,Tokyo Stock Exchange
PETGAS,PETRONAS GAS,Utilities,Malaysia,USD,Bursa Malaysia
