iShares MSCI ACWI ETF
Fund Holdings as of,"Dec 24, 2024"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"163,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","49,949,994.46","0.26","49,949,994.46","94,427.00","528.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZN","ASTRAZENECA PLC","Health Care","Equity","49,310,458.79","0.25","49,310,458.79","376,797.00","130.87","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","48,941,467.68","0.25","48,941,467.68","426,468.00","114.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","48,664,201.60","0.25","48,664,201.60","108,640.00","447.94","United States","NASDAQ","USD","1.00","USD","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","48,492,581.45","0.25","48,492,581.45","174,042.00","278.63","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"NOVN","NOVARTIS AG","Health Care","Equity","47,639,677.55","0.24","47,639,677.55","489,464.00","97.33","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","47,313,073.06","0.24","47,313,073.06","88,103.00","537.02","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","46,880,578.02","0.24","46,880,578.02","381,422.00","122.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHEL","SHELL PLC","Energy","Equity","46,868,613.90","0.24","46,868,613.90","1,538,711.00","30.46","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"GE","GE AEROSPACE","Industrials","Equity","46,338,655.88","0.24","46,338,655.88","270,212.00","171.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","45,858,579.52","0.23","45,858,579.52","78,688.00","582.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","45,613,337.36","0.23","45,613,337.36","2,531,500.00","18.02","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"INTU","INTUIT INC","Information Technology","Equity","44,573,406.75","0.23","44,573,406.75","69,075.00","645.29","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","44,200,292.50","0.23","44,200,292.50","120,250.00","367.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MC","LVMH","Consumer Discretionary","Equity","44,176,803.15","0.23","44,176,803.15","67,388.00","655.56","France","Nyse Euronext - Euronext Paris","USD","0.96","EUR","-"
